"id","code","tv025_type_batiment_id","tv025_intermittence_type_installation_id","tv025_intermittence_type_ch_id","tv025_intermittence_type_regulation_id","tv025_type_emetteur_id","tv025_intermittence_inertie_id","tv025_equipement_intermittence_id","tv025_intermittence_comptage_individuel_id","I0","est_efface"
"98","TV025_098","3","2","1","2","4","NULL","4","1","0.95","0"
"99","TV025_099","3","2","1","2","4","NULL","4","2","0.93","0"
"100","TV025_100","3","2","1","2","2","NULL","3","1","1.05","0"
"101","TV025_101","3","2","1","2","2","NULL","3","2","1.03","0"
"102","TV025_102","3","2","1","2","2","NULL","4","1","0.97","0"
"103","TV025_103","3","2","1","2","2","NULL","4","2","0.95","0"
"104","TV025_104","3","2","1","1","3","NULL","3","1","1.03","0"
"105","TV025_105","3","2","1","1","3","NULL","3","2","1.01","0"
"106","TV025_106","3","2","1","1","3","NULL","4","1","0.95","0"
"107","TV025_107","3","2","1","1","3","NULL","4","2","0.93","0"
"108","TV025_108","3","2","1","1","4","NULL","3","1","1.05","0"
"109","TV025_109","3","2","1","1","4","NULL","3","2","1.03","0"
"110","TV025_110","3","2","1","1","4","NULL","4","1","0.97","0"
"111","TV025_111","3","2","1","1","4","NULL","4","2","0.95","0"
"112","TV025_112","3","2","1","1","2","NULL","3","1","1.07","0"
"113","TV025_113","3","2","1","1","2","NULL","3","2","1.05","0"
"114","TV025_114","3","2","1","1","2","NULL","4","1","0.99","0"
"115","TV025_115","3","2","1","1","2","NULL","4","2","0.97","0"
