"id","code","tv004_umur0_materiaux_id","epaisseur","umur","est_efface","simu_ordre","simulateur"
"80","TV004_080","12","25","2.30","0","NULL","1"
"81","TV004_081","13","20 et -","2.90","0","NULL","1"
"82","TV004_082","13","22.5","2.75","0","NULL","1"
"83","TV004_083","13","25","2.65","0","NULL","1"
"84","TV004_084","13","28","2.50","0","NULL","1"
"85","TV004_085","13","30","2.40","0","NULL","1"
"86","TV004_086","13","35","2.20","0","NULL","1"
"87","TV004_087","13","40","2.05","0","NULL","1"
"88","TV004_088","13","45","1.90","0","NULL","1"
"89","TV004_089","14","20 et -","2.75","0","NULL","1"
"90","TV004_090","14","22.5","2.50","0","NULL","1"
"91","TV004_091","14","25","2.40","0","NULL","1"
"92","TV004_092","14","28","2.25","0","NULL","1"
"93","TV004_093","14","30","2.15","0","NULL","1"
"94","TV004_094","14","35","1.95","0","NULL","1"
"95","TV004_095","14","40","1.80","0","NULL","1"
"96","TV004_096","15","30","0.47","0","NULL","1"
"97","TV004_097","15","37.5","0.40","0","NULL","1"
"98","TV004_098","16","5","2.12","0","NULL","1"
"99","TV004_099","16","7","1.72","0","NULL","1"
"100","TV004_100","16","10","1.03","0","NULL","1"
"101","TV004_101","16","15","0.72","0","NULL","1"
"102","TV004_102","16","20","0.55","0","NULL","1"
"103","TV004_103","16","25","0.46","0","NULL","1"
"104","TV004_104","16","27.5","0.42","0","NULL","1"
"105","TV004_105","16","30","0.39","0","NULL","1"
"106","TV004_106","16","32.5","0.35","0","NULL","1"
"107","TV004_107","16","37.5","0.32","0","NULL","1"
"108","TV004_108","17","Sans objet","2.50","0","NULL","1"
