,Code,Type de liaison,Isolation Mur,Isolation Plancher bas,Largeur du dormant,Type de pose,Retour d'isolation,K
126,TV013_127,Menuiserie / Mur,ITE+ITR,,10.0,Nu extérieur,Avec,0.0
127,TV013_128,Menuiserie / Mur,ITE+ITR,,5.0,Tunnel,Avec,0.19
128,TV013_129,Menuiserie / Mur,ITE+ITR,,10.0,Tunnel,Avec,0.15
129,TV013_130,Menuiserie / Mur,ITE+ITR,,5.0,Nu intérieur,Avec,0.2
130,TV013_131,Menuiserie / Mur,ITE+ITR,,10.0,Nu intérieur,Avec,0.2
131,TV013_132,Menuiserie / Mur,ITE+ITR,,5.0,Nu extérieur,Sans,0.0
132,TV013_133,Menuiserie / Mur,ITE+ITR,,10.0,Nu extérieur,Sans,0.0
133,TV013_134,Menuiserie / Mur,ITE+ITR,,5.0,Tunnel,Sans,0.2
134,TV013_135,Menuiserie / Mur,ITE+ITR,,10.0,Tunnel,Sans,0.2
135,TV013_136,Menuiserie / Mur,ITE+ITR,,5.0,Nu intérieur,Sans,0.2
136,TV013_137,Menuiserie / Mur,ITE+ITR,,10.0,Nu intérieur,Sans,0.2
