,Code,Type de bâtiment,Type d'installation,Type de chauffage,Type de régulation,Type d'émetteur,Inertie,Equipement d'intermittence,Comptage individuelle,I0
48,TV025_049,Maison individuelle,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Radiateurs,Légère ou Moyenne,Central avec minimum de température,,0.88
49,TV025_050,Maison individuelle,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Radiateurs,Lourde ou Très Lourde,Absent,,0.93
50,TV025_051,Maison individuelle,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Radiateurs,Lourde ou Très Lourde,Central sans minimum de température,,0.92
51,TV025_052,Maison individuelle,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Radiateurs,Lourde ou Très Lourde,Central avec minimum de température,,0.9
52,TV025_053,Maison individuelle,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Planchers chauffant,Légère ou Moyenne,Absent,,0.92
53,TV025_054,Maison individuelle,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Planchers chauffant,Légère ou Moyenne,Central sans minimum de température,,0.91
54,TV025_055,Maison individuelle,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Planchers chauffant,Légère ou Moyenne,Central avec minimum de température,,0.9
55,TV025_056,Maison individuelle,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Planchers chauffant,Lourde ou Très Lourde,Absent,,0.94
56,TV025_057,Maison individuelle,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Planchers chauffant,Lourde ou Très Lourde,Central sans minimum de température,,0.93
57,TV025_058,Maison individuelle,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Planchers chauffant,Lourde ou Très Lourde,Central avec minimum de température,,0.92
58,TV025_059,Immeuble Collectif ou Appartement,Chauffage Individuelle,Divisé,Avec régulation pièce par pièce,Air soufflé,,Absent,,0.9
59,TV025_060,Immeuble Collectif ou Appartement,Chauffage Individuelle,Divisé,Avec régulation pièce par pièce,Air soufflé,,Central sans minimum de température,,0.89
60,TV025_061,Immeuble Collectif ou Appartement,Chauffage Individuelle,Divisé,Avec régulation pièce par pièce,Air soufflé,,Central avec minimum de température,,0.88
61,TV025_062,Immeuble Collectif ou Appartement,Chauffage Individuelle,Divisé,Avec régulation pièce par pièce,Air soufflé,,Par pièce avec minimum de température,,0.86
62,TV025_063,Immeuble Collectif ou Appartement,Chauffage Individuelle,Divisé,Avec régulation pièce par pièce,Radiateurs,,Absent,,0.9
63,TV025_064,Immeuble Collectif ou Appartement,Chauffage Individuelle,Divisé,Avec régulation pièce par pièce,Radiateurs,,Central sans minimum de température,,0.89
64,TV025_065,Immeuble Collectif ou Appartement,Chauffage Individuelle,Divisé,Avec régulation pièce par pièce,Radiateurs,,Central avec minimum de température,,0.88
65,TV025_066,Immeuble Collectif ou Appartement,Chauffage Individuelle,Divisé,Avec régulation pièce par pièce,Radiateurs,,Par pièce avec minimum de température,,0.86
66,TV025_067,Immeuble Collectif ou Appartement,Chauffage Individuelle,Divisé,Avec régulation pièce par pièce,Planchers chauffant,,Absent,,0.95
67,TV025_068,Immeuble Collectif ou Appartement,Chauffage Individuelle,Divisé,Avec régulation pièce par pièce,Planchers chauffant,,Central sans minimum de température,,0.94
68,TV025_069,Immeuble Collectif ou Appartement,Chauffage Individuelle,Divisé,Avec régulation pièce par pièce,Planchers chauffant,,Central avec minimum de température,,0.93
69,TV025_070,Immeuble Collectif ou Appartement,Chauffage Individuelle,Divisé,Avec régulation pièce par pièce,Planchers chauffant,,Par pièce avec minimum de température,,0.91
70,TV025_071,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Avec régulation pièce par pièce,Air soufflé,,Absent,,0.91
71,TV025_072,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Avec régulation pièce par pièce,Air soufflé,,Central sans minimum de température,,0.9
72,TV025_073,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Avec régulation pièce par pièce,Air soufflé,,Central avec minimum de température,,0.89
73,TV025_074,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Avec régulation pièce par pièce,Air soufflé,,Par pièce avec minimum de température,,0.87
74,TV025_075,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Avec régulation pièce par pièce,Radiateurs,,Absent,,0.93
75,TV025_076,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Avec régulation pièce par pièce,Radiateurs,,Central sans minimum de température,,0.92
76,TV025_077,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Avec régulation pièce par pièce,Radiateurs,,Central avec minimum de température,,0.91
77,TV025_078,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Avec régulation pièce par pièce,Radiateurs,,Par pièce avec minimum de température,,0.89
78,TV025_079,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Avec régulation pièce par pièce,Planchers chauffant,,Absent,,0.95
79,TV025_080,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Avec régulation pièce par pièce,Planchers chauffant,,Central sans minimum de température,,0.94
80,TV025_081,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Avec régulation pièce par pièce,Planchers chauffant,,Central avec minimum de température,,0.93
