,Code,Type de matériaux,Type de Baie,Ug,Uw
347,TV010_348,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,1.2,1.9
348,TV010_349,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,1.3,1.9
349,TV010_350,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,1.4,2.0
350,TV010_351,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,1.5,2.1
351,TV010_352,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,1.6,2.1
352,TV010_353,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,1.7,2.2
353,TV010_354,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,1.8,2.3
354,TV010_355,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,1.9,2.4
355,TV010_356,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,2.0,2.4
356,TV010_357,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,2.1,2.4
357,TV010_358,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,2.2,2.5
358,TV010_359,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,2.3,2.5
359,TV010_360,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,2.4,2.6
360,TV010_361,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,2.5,2.7
361,TV010_362,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,2.6,2.8
362,TV010_363,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,2.7,2.8
363,TV010_364,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,2.8,2.9
364,TV010_365,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,2.9,3.0
365,TV010_366,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,3.0,3.1
366,TV010_367,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,3.1,3.1
367,TV010_368,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,3.2,3.2
368,TV010_369,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,3.3,3.3
369,TV010_370,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,5.8,4.8
370,TV010_371,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,0.8,1.6
371,TV010_372,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,0.9,1.6
372,TV010_373,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,1.0,1.7
373,TV010_374,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,1.1,1.7
374,TV010_375,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,1.2,2.0
375,TV010_376,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,1.3,2.1
376,TV010_377,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,1.4,2.1
377,TV010_378,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,1.5,2.2
378,TV010_379,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,1.6,2.2
379,TV010_380,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,1.7,2.3
380,TV010_381,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,1.8,2.4
381,TV010_382,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,1.9,2.4
382,TV010_383,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,2.0,2.4
383,TV010_384,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,2.1,2.4
384,TV010_385,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,2.2,2.5
385,TV010_386,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,2.3,2.6
386,TV010_387,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,2.4,2.6
387,TV010_388,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,2.5,2.7
388,TV010_389,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,2.6,2.7
389,TV010_390,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,2.7,2.8
390,TV010_391,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,2.8,2.9
391,TV010_392,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,2.9,2.9
392,TV010_393,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,3.0,3.0
393,TV010_394,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,3.1,3.1
394,TV010_395,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,3.2,3.1
395,TV010_396,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,3.3,3.2
396,TV010_397,Bois ou bois/métal,Portes-fenêtres battantes avec soubassement,5.8,4.5
