"id","code","ph_isole","tv007_uph_type_toit_id","annee_construction","annee_construction_min","annee_construction_max","annee_isolation","annee_isolation_min","annee_isolation_max","tv017_zone_hiver_id","effet_joule","uph","est_efface"
"69","TV007_069","0","2","2000 à 2005","2001","2005","NULL","NULL","NULL","2","0","0.30","0"
"70","TV007_070","0","2","à partir de 2006","2006","2100","NULL","NULL","NULL","2","0","0.27","0"
"71","TV007_071","0","2","1948 à 1974","1948","1974","NULL","NULL","NULL","3","1","2.50","0"
"72","TV007_072","0","2","1974 à 1977","1975","1977","NULL","NULL","NULL","3","1","0.83","0"
"73","TV007_073","0","2","1977 à 1982","1978","1982","NULL","NULL","NULL","3","1","0.78","0"
"74","TV007_074","0","2","1982 à 1988","1983","1988","NULL","NULL","NULL","3","1","0.44","0"
"75","TV007_075","0","2","1988 à 2000","1989","2000","NULL","NULL","NULL","3","1","0.39","0"
"76","TV007_076","0","2","2000 à 2005","2001","2005","NULL","NULL","NULL","3","1","0.30","0"
"77","TV007_077","0","2","à partir de 2006","2006","2100","NULL","NULL","NULL","3","1","0.27","0"
"78","TV007_078","0","2","1948 à 1974","1948","1974","NULL","NULL","NULL","3","0","2.50","0"
"79","TV007_079","0","2","1974 à 1977","1975","1977","NULL","NULL","NULL","3","0","0.83","0"
"80","TV007_080","0","2","1977 à 1982","1978","1982","NULL","NULL","NULL","3","0","0.83","0"
"81","TV007_081","0","2","1982 à 1988","1983","1988","NULL","NULL","NULL","3","0","0.61","0"
"82","TV007_082","0","2","1988 à 2000","1989","2000","NULL","NULL","NULL","3","0","0.44","0"
"83","TV007_083","0","2","2000 à 2005","2001","2005","NULL","NULL","NULL","3","0","0.30","0"
"84","TV007_084","0","2","à partir de 2006","2006","2100","NULL","NULL","NULL","3","0","0.27","0"
"85","TV007_085","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2.50","0"
"86","TV007_086","1","3","jusqu'à 1988","1900","1988","NULL","NULL","NULL","NULL","NULL","0.43","0"
"87","TV007_087","1","3","de 1989 à 2000","1989","2000","NULL","NULL","NULL","NULL","NULL","0.23","0"
"88","TV007_088","1","3","à partir de 2000","2001","2100","NULL","NULL","NULL","NULL","NULL","0.19","0"
"89","TV007_089","1","4","jusqu'à 1988","1900","1988","NULL","NULL","NULL","NULL","NULL","0.61","0"
"90","TV007_090","1","4","de 1989 à 2000","1989","2000","NULL","NULL","NULL","NULL","NULL","0.38","0"
"91","TV007_091","1","4","à partir de 2000","2001","2100","NULL","NULL","NULL","NULL","NULL","0.27","0"
"92","TV007_092","1","5","jusqu'à 1988","1900","1988","NULL","NULL","NULL","NULL","NULL","1.00","0"
"93","TV007_093","1","5","de 1989 à 2000","1989","2000","NULL","NULL","NULL","NULL","NULL","0.50","0"
"94","TV007_094","1","5","à partir de 2000","2001","2100","NULL","NULL","NULL","NULL","NULL","0.30","0"
"95","TV007_095","1","1","NULL","NULL","NULL","de 1975 à 1977","1975","1977","1","NULL","0.50","0"
"96","TV007_096","1","1","NULL","NULL","NULL","de 1978 à 1982","1978","1982","1","NULL","0.40","0"
"97","TV007_097","1","1","NULL","NULL","NULL","de 1983 à 1988","1983","1988","1","NULL","0.30","0"
"98","TV007_098","1","1","NULL","NULL","NULL","de 1989 à 2000","1989","2000","1","NULL","0.25","0"
"99","TV007_099","1","1","NULL","NULL","NULL","de 2001 à 2005","2001","2005","1","NULL","0.23","0"
"100","TV007_100","1","1","NULL","NULL","NULL","à partir de 2006","2006","2100","1","NULL","0.20","0"
"101","TV007_101","1","1","NULL","NULL","NULL","de 1975 à 1977","1975","1977","2","NULL","0.53","0"
"102","TV007_102","1","1","NULL","NULL","NULL","de 1978 à 1982","1978","1982","2","NULL","0.42","0"
"103","TV007_103","1","1","NULL","NULL","NULL","de 1983 à 1988","1983","1988","2","NULL","0.32","0"
"104","TV007_104","1","1","NULL","NULL","NULL","de 1989 à 2000","1989","2000","2","NULL","0.26","0"
"105","TV007_105","1","1","NULL","NULL","NULL","de 2001 à 2005","2001","2005","2","NULL","0.23","0"
"106","TV007_106","1","1","NULL","NULL","NULL","à partir de 2006","2006","2100","2","NULL","0.20","0"
"107","TV007_107","1","1","NULL","NULL","NULL","de 1975 à 1977","1975","1977","3","NULL","0.56","0"
"108","TV007_108","1","1","NULL","NULL","NULL","de 1978 à 1982","1978","1982","3","NULL","0.44","0"
"109","TV007_109","1","1","NULL","NULL","NULL","de 1983 à 1988","1983","1988","3","NULL","0.33","0"
"110","TV007_110","1","1","NULL","NULL","NULL","de 1989 à 2000","1989","2000","3","NULL","0.30","0"
"111","TV007_111","1","1","NULL","NULL","NULL","de 2001 à 2005","2001","2005","3","NULL","0.30","0"
"112","TV007_112","1","1","NULL","NULL","NULL","à partir de 2006","2006","2100","3","NULL","0.25","0"
"113","TV007_113","1","2","NULL","NULL","NULL","de 1975 à 1977","1975","1977","1","NULL","0.75","0"
"114","TV007_114","1","2","NULL","NULL","NULL","de 1978 à 1982","1978","1982","1","NULL","0.70","0"
"115","TV007_115","1","2","NULL","NULL","NULL","de 1983 à 1988","1983","1988","1","NULL","0.40","0"
"116","TV007_116","1","2","NULL","NULL","NULL","de 1989 à 2000","1989","2000","1","NULL","0.35","0"
"117","TV007_117","1","2","NULL","NULL","NULL","de 2001 à 2005","2001","2005","1","NULL","0.30","0"
"118","TV007_118","1","2","NULL","NULL","NULL","à partir de 2006","2006","2100","1","NULL","0.27","0"
"119","TV007_119","1","2","NULL","NULL","NULL","de 1975 à 1977","1975","1977","2","NULL","0.79","0"
"120","TV007_120","1","2","NULL","NULL","NULL","de 1978 à 1982","1978","1982","2","NULL","0.74","0"
"121","TV007_121","1","2","NULL","NULL","NULL","de 1983 à 1988","1983","1988","2","NULL","0.42","0"
"122","TV007_122","1","2","NULL","NULL","NULL","de 1989 à 2000","1989","2000","2","NULL","0.37","0"
"123","TV007_123","1","2","NULL","NULL","NULL","de 2001 à 2005","2001","2005","2","NULL","0.30","0"
"124","TV007_124","1","2","NULL","NULL","NULL","à partir de 2006","2006","2100","2","NULL","0.27","0"
"125","TV007_125","1","2","NULL","NULL","NULL","de 1975 à 1977","1975","1977","3","NULL","0.83","0"
"126","TV007_126","1","2","NULL","NULL","NULL","de 1978 à 1982","1978","1982","3","NULL","0.78","0"
"127","TV007_127","1","2","NULL","NULL","NULL","de 1983 à 1988","1983","1988","3","NULL","0.44","0"
"128","TV007_128","1","2","NULL","NULL","NULL","de 1989 à 2000","1989","2000","3","NULL","0.39","0"
"129","TV007_129","1","2","NULL","NULL","NULL","de 2001 à 2005","2001","2005","3","NULL","0.30","0"
"130","TV007_130","1","2","NULL","NULL","NULL","à partir de 2006","2006","2100","3","NULL","0.27","0"
