"id","code","tv013_valeur_pont_thermique_type_liaison_id","tv013_valeur_pont_thermique_isolation_mur_id","tv013_valeur_pont_thermique_isolation_planche_bas_id","largeur_dormant","tv013_valeur_pont_thermique_type_pose_id","tv013_valeur_pont_thermique_retour_isolation_id","k","est_efface"
"59","TV013_059","3","5","2","NULL","NULL","NULL","0.07","0"
"60","TV013_060","3","5","4","NULL","NULL","NULL","0.40","0"
"61","TV013_061","3","5","3","NULL","NULL","NULL","0.30","0"
"62","TV013_062","3","5","1","NULL","NULL","NULL","0.48","0"
"63","TV013_063","3","5","2","NULL","NULL","NULL","0.30","0"
"64","TV013_064","5","7","NULL","NULL","NULL","NULL","0.73","0"
"65","TV013_065","5","3","NULL","NULL","NULL","NULL","0.82","0"
"66","TV013_066","5","1","NULL","NULL","NULL","NULL","0.13","0"
"67","TV013_067","5","6","NULL","NULL","NULL","NULL","0.20","0"
"68","TV013_068","5","4","NULL","NULL","NULL","NULL","0.13","0"
"69","TV013_069","5","5","NULL","NULL","NULL","NULL","0.20","0"
"70","TV013_070","5","2","NULL","NULL","NULL","NULL","0.13","0"
"71","TV013_071","1","7","NULL","5","1","NULL","0.43","0"
"72","TV013_072","1","7","NULL","10","1","NULL","0.29","0"
"73","TV013_073","1","7","NULL","5","3","NULL","0.31","0"
"74","TV013_074","1","7","NULL","10","3","NULL","0.19","0"
"75","TV013_075","1","7","NULL","5","2","NULL","0.38","0"
"76","TV013_076","1","7","NULL","10","2","NULL","0.25","0"
"77","TV013_077","1","3","NULL","5","1","1","0.22","0"
"78","TV013_078","1","3","NULL","10","1","1","0.18","0"
"79","TV013_079","1","3","NULL","5","3","1","0.16","0"
"80","TV013_080","1","3","NULL","10","3","1","0.13","0"
"81","TV013_081","1","3","NULL","5","2","1","0.00","0"
"82","TV013_082","1","3","NULL","10","2","1","0.00","0"
"83","TV013_083","1","3","NULL","5","1","2","0.43","0"
"84","TV013_084","1","3","NULL","10","1","2","0.29","0"
"85","TV013_085","1","3","NULL","5","3","2","0.31","0"
