,Code,Ph Isolé,Type  de Toit,Année construction,Année isolation,Zone Hiver,Effet Joule,Uph
118,TV007_119,Oui,Terrasse,,de 1975 à 1977,H2,,0.79
119,TV007_120,Oui,Terrasse,,de 1978 à 1982,H2,,0.74
120,TV007_121,Oui,Terrasse,,de 1983 à 1988,H2,,0.42
121,TV007_122,Oui,Terrasse,,de 1989 à 2000,H2,,0.37
122,TV007_123,Oui,Terrasse,,de 2001 à 2005,H2,,0.3
123,TV007_124,Oui,Terrasse,,à partir de 2006,H2,,0.27
124,TV007_125,Oui,Terrasse,,de 1975 à 1977,H3,,0.83
125,TV007_126,Oui,Terrasse,,de 1978 à 1982,H3,,0.78
126,TV007_127,Oui,Terrasse,,de 1983 à 1988,H3,,0.44
127,TV007_128,Oui,Terrasse,,de 1989 à 2000,H3,,0.39
128,TV007_129,Oui,Terrasse,,de 2001 à 2005,H3,,0.3
129,TV007_130,Oui,Terrasse,,à partir de 2006,H3,,0.27
